dataset,provider,mode,correct,total,accuracy,hit5,mrr5,detail_log,signoff
HousingQA,groq-llama70b,rag_hyde,4263,6853,0.622000,0.349500,0.226000,logs/eval_rag_hyde_groq-llama70b_20260521_013539_housing_local-snap-hyre-groq-llama70b-housing-rag_hyde-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-STATEFILTER/RETRY/RERANKER-TRUNCATION/POST-OK-WRAPPER-CAVEAT
HousingQA,groq-llama70b,rag_rewrite,3827,6853,0.558000,0.098400,0.059300,logs/merged/eval_rag_rewrite_groq-llama70b_20260520_housing_nfull_k5_merged_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/RERANKER-TRUNCATION/POST-OK-WRAPPER-CAVEAT
HousingQA,groq-llama70b,rag_simple,4258,6853,0.621000,0.369500,0.233000,logs/eval_rag_simple_groq-llama70b_20260520_230339_housing_local-snap-hyre-groq-llama70b-housing-rag_simple-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-STATEFILTER/POST-OK-WRAPPER-CAVEAT
HousingQA,groq-llama70b,snap_hyre,4087,6853,0.596000,0.231100,0.142700,logs/merged/housing_groq-llama70b_snap_hyre_statefilter_full_20260520_detail.jsonl,COMPREHENSIVE-CLEAN-STATEFILTER
HousingQA,groq-llama8b,golden_passage,4408,6853,0.643000,1.000000,1.000000,logs/eval_golden_passage_groq-llama8b_20260519_140614_housing_local-snap-hyre-groq-llama8b-housing-golden_passage-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP/TRACE-ABBREVIATION-CAVEAT
HousingQA,groq-llama8b,golden_plus_neighbors,4372,6853,0.638000,1.000000,1.000000,logs/eval_golden_plus_neighbors_groq-llama8b_20260519_141204_housing_local-snap-hyre-groq-llama8b-housing-golden_plus_neighbors-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP/TRACE-ABBREVIATION-CAVEAT
HousingQA,groq-llama8b,llm_only,3795,6853,0.554000,,,logs/eval_llm_only_groq-llama8b_20260519_082209_housing_local-snap-hyre-groq-llama8b-housing-llm_only-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
HousingQA,groq-llama8b,rag_hyde,4047,6853,0.591000,0.269500,0.168800,logs/eval_rag_hyde_groq-llama8b_20260520_233346_housing_local-snap-hyre-groq-llama8b-housing-rag_hyde-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-STATEFILTER/RETRY/NEAR-CAP-CAVEAT
HousingQA,groq-llama8b,rag_rewrite,4342,6853,0.634000,0.102400,0.060100,logs/merged/eval_rag_rewrite_groq-llama8b_20260520_housing_nfull_k5_merged_detail.jsonl,COMPREHENSIVE-CITE-WITH-REPAIR/RETRY/RERANKER-TRUNCATION-CAVEAT
HousingQA,groq-llama8b,rag_simple,4269,6853,0.623000,0.369500,0.233000,logs/eval_rag_simple_groq-llama8b_20260520_132953_housing_local-snap-hyre-groq-llama8b-housing-rag_simple-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-STATEFILTER/NEAR-CAP-CAVEAT
HousingQA,groq-llama8b,snap_hyre,4043,6853,0.590000,0.295600,0.188800,logs/eval_snap_hyre_groq-llama8b_20260521_041736_housing_local-snap-hyre-groq-llama8b-housing-snap_hyre-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-STATEFILTER/RETRY/RERANKER-TRUNCATION-CAVEAT
HousingQA,or-gemma4-26b,llm_only,3846,6853,0.561000,,,logs/merged/housing_or-gemma4-26b_llm_only_full_20260523_114720_detail.jsonl,COMPREHENSIVE-CITE-MIXED-SAME-MODEL-ROUTE/RETRY-CAVEAT
HousingQA,or-gemma4-26b,rag_hyde,4456,6853,0.650000,0.306300,0.196400,logs/eval_rag_hyde_or-gemma4-26b_20260521_174454_housing_local-snap-hyre-or-gemma4-26b-housing-rag_hyde-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-STATEFILTER/RETRY/NEAR-CAP-CAVEAT
HousingQA,or-gemma4-26b,rag_simple,4531,6853,0.661000,0.369500,0.233000,logs/merged/housing_or-gemma4-26b_rag_simple_statefilter_full_20260521_185315_detail.jsonl,COMPREHENSIVE-CITE-STATEFILTER/RETRY-CAVEAT
HousingQA,or-gemma4-26b,snap_hyre,4458,6853,0.651000,0.380700,0.245200,logs/merged/housing_or-gemma4-26b_snap_hyre_statefilter_full_20260523_113019_detail.jsonl,COMPREHENSIVE-CITE-STATEFILTER/RETRY-CAVEAT
