figure,provider,dataset,method,metric,value,source
01_answer_ladder_by_dataset.png,or-gemma4-26b,legalbench_scalr,rag_simple,accuracy_pct,73.38,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,legalbench_scalr,rag_hyde,accuracy_pct,72.15,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,legalbench_scalr,snap_hyre,accuracy_pct,73.91,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,legalbench_scalr,rag_rewrite,accuracy_pct,73.91,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,legalbench_scalr,golden_passage,accuracy_pct,97.90,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,legalbench_scalr,golden_plus_neighbors,accuracy_pct,81.26,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,legalbench_scalr,llm_only,accuracy_pct,74.43,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,legalbench_scalr,rag_simple,accuracy_pct,72.85,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,legalbench_scalr,rag_hyde,accuracy_pct,70.40,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,legalbench_scalr,snap_hyre,accuracy_pct,71.28,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,legalbench_scalr,rag_rewrite,accuracy_pct,71.63,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,legalbench_scalr,golden_passage,accuracy_pct,93.52,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,legalbench_scalr,golden_plus_neighbors,accuracy_pct,83.01,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,casehold,llm_only,accuracy_pct,71.81,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,casehold,rag_simple,accuracy_pct,70.75,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,casehold,rag_hyde,accuracy_pct,70.33,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,casehold,snap_hyre,accuracy_pct,70.50,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,casehold,rag_rewrite,accuracy_pct,70.61,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,casehold,golden_passage,accuracy_pct,97.53,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,casehold,golden_plus_neighbors,accuracy_pct,79.42,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,housing,llm_only,accuracy_pct,44.75,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,housing,rag_simple,accuracy_pct,47.29,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,housing,golden_passage,accuracy_pct,67.28,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,housing,golden_plus_neighbors,accuracy_pct,66.01,docs/generated/snap_hyre_package/answer_ladder_status.csv
02_retrieval_answer_conversion.png,or-gemma4-26b,barexam,rag_hyde,delta_hit5_pp,9.96,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_retrieval_answer_conversion.png,or-gemma4-26b,barexam,rag_hyde,delta_accuracy_pp,2.26,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_retrieval_answer_conversion.png,or-gemma4-26b,barexam,snap_hyre,delta_hit5_pp,10.63,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_retrieval_answer_conversion.png,or-gemma4-26b,barexam,snap_hyre,delta_accuracy_pp,4.02,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_retrieval_answer_conversion.png,or-gemma4-26b,barexam,rag_rewrite,delta_hit5_pp,10.80,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_rewrite.md
02_retrieval_answer_conversion.png,or-gemma4-26b,barexam,rag_rewrite,delta_accuracy_pp,2.68,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_rewrite.md
02_retrieval_answer_conversion.png,groq-llama70b,barexam,rag_hyde,delta_hit5_pp,9.04,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,barexam,rag_hyde,delta_accuracy_pp,5.61,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,barexam,snap_hyre,delta_hit5_pp,9.63,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,barexam,snap_hyre,delta_accuracy_pp,5.19,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,barexam,rag_rewrite,delta_hit5_pp,10.80,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_rewrite.md
02_retrieval_answer_conversion.png,groq-llama70b,barexam,rag_rewrite,delta_accuracy_pp,2.68,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_rewrite.md
02_retrieval_answer_conversion.png,or-ministral-8b,legalbench_scalr,rag_hyde,delta_hit5_pp,10.69,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_retrieval_answer_conversion.png,or-ministral-8b,legalbench_scalr,rag_hyde,delta_accuracy_pp,3.15,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_retrieval_answer_conversion.png,or-ministral-8b,legalbench_scalr,snap_hyre,delta_hit5_pp,12.44,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_retrieval_answer_conversion.png,or-ministral-8b,legalbench_scalr,snap_hyre,delta_accuracy_pp,1.93,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_retrieval_answer_conversion.png,or-ministral-8b,legalbench_scalr,rag_rewrite,delta_hit5_pp,15.41,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_rewrite.md
02_retrieval_answer_conversion.png,or-ministral-8b,legalbench_scalr,rag_rewrite,delta_accuracy_pp,1.93,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_rewrite.md
02_retrieval_answer_conversion.png,or-gemma4-26b,legalbench_scalr,rag_hyde,delta_hit5_pp,21.19,docs/signoff_log.md
02_retrieval_answer_conversion.png,or-gemma4-26b,legalbench_scalr,rag_hyde,delta_accuracy_pp,-1.23,docs/signoff_log.md
02_retrieval_answer_conversion.png,or-gemma4-26b,legalbench_scalr,snap_hyre,delta_hit5_pp,23.12,docs/signoff_log.md
02_retrieval_answer_conversion.png,or-gemma4-26b,legalbench_scalr,snap_hyre,delta_accuracy_pp,0.53,docs/signoff_log.md
02_retrieval_answer_conversion.png,or-gemma4-26b,legalbench_scalr,rag_rewrite,delta_hit5_pp,17.87,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-gemma4-26b_rag_rewrite.md
02_retrieval_answer_conversion.png,or-gemma4-26b,legalbench_scalr,rag_rewrite,delta_accuracy_pp,0.53,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-gemma4-26b_rag_rewrite.md
02_retrieval_answer_conversion.png,groq-llama70b,legalbench_scalr,rag_hyde,delta_hit5_pp,11.91,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,legalbench_scalr,rag_hyde,delta_accuracy_pp,-2.45,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,legalbench_scalr,snap_hyre,delta_hit5_pp,5.61,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,legalbench_scalr,snap_hyre,delta_accuracy_pp,-1.57,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,legalbench_scalr,rag_rewrite,delta_hit5_pp,8.06,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_rewrite.md
02_retrieval_answer_conversion.png,groq-llama70b,legalbench_scalr,rag_rewrite,delta_accuracy_pp,-1.22,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_rewrite.md
02_retrieval_answer_conversion.png,groq-llama70b,casehold,rag_hyde,delta_hit5_pp,33.28,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,casehold,rag_hyde,delta_accuracy_pp,-0.42,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_simple.md
02_retrieval_answer_conversion.png,groq-llama70b,casehold,snap_hyre,delta_hit5_pp,27.03,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_snap_hyre_mixed.md
02_retrieval_answer_conversion.png,groq-llama70b,casehold,snap_hyre,delta_accuracy_pp,-0.25,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_snap_hyre_mixed.md
02_retrieval_answer_conversion.png,groq-llama70b,casehold,rag_rewrite,delta_hit5_pp,27.14,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_rewrite.md
02_retrieval_answer_conversion.png,groq-llama70b,casehold,rag_rewrite,delta_accuracy_pp,-0.14,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_rewrite.md
02_accuracy_vs_hit5.png,or-gemma4-26b,barexam,rag_hyde,hit5_pct,11.38,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_accuracy_vs_hit5.png,or-gemma4-26b,barexam,rag_hyde,accuracy_pct,80.25,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_accuracy_vs_hit5.png,or-gemma4-26b,barexam,snap_hyre,hit5_pct,12.05,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_accuracy_vs_hit5.png,or-gemma4-26b,barexam,snap_hyre,accuracy_pct,82.01,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_accuracy_vs_hit5.png,or-gemma4-26b,barexam,rag_rewrite,hit5_pct,12.22,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_rewrite.md
02_accuracy_vs_hit5.png,or-gemma4-26b,barexam,rag_rewrite,accuracy_pct,80.67,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_rewrite.md
02_accuracy_vs_hit5.png,groq-llama70b,barexam,rag_hyde,hit5_pct,10.46,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,barexam,rag_hyde,accuracy_pct,80.17,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,barexam,snap_hyre,hit5_pct,11.05,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,barexam,snap_hyre,accuracy_pct,79.75,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,barexam,rag_rewrite,hit5_pct,12.22,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_rewrite.md
02_accuracy_vs_hit5.png,groq-llama70b,barexam,rag_rewrite,accuracy_pct,77.24,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_rewrite.md
02_accuracy_vs_hit5.png,or-ministral-8b,legalbench_scalr,rag_hyde,hit5_pct,60.25,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_accuracy_vs_hit5.png,or-ministral-8b,legalbench_scalr,rag_hyde,accuracy_pct,71.10,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_accuracy_vs_hit5.png,or-ministral-8b,legalbench_scalr,snap_hyre,hit5_pct,62.00,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_accuracy_vs_hit5.png,or-ministral-8b,legalbench_scalr,snap_hyre,accuracy_pct,69.88,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_accuracy_vs_hit5.png,or-ministral-8b,legalbench_scalr,rag_rewrite,hit5_pct,64.97,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_rewrite.md
02_accuracy_vs_hit5.png,or-ministral-8b,legalbench_scalr,rag_rewrite,accuracy_pct,69.88,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_rewrite.md
02_accuracy_vs_hit5.png,or-gemma4-26b,legalbench_scalr,rag_hyde,hit5_pct,70.75,docs/signoff_log.md
02_accuracy_vs_hit5.png,or-gemma4-26b,legalbench_scalr,rag_hyde,accuracy_pct,72.15,docs/signoff_log.md
02_accuracy_vs_hit5.png,or-gemma4-26b,legalbench_scalr,snap_hyre,hit5_pct,72.68,docs/signoff_log.md
02_accuracy_vs_hit5.png,or-gemma4-26b,legalbench_scalr,snap_hyre,accuracy_pct,73.91,docs/signoff_log.md
02_accuracy_vs_hit5.png,or-gemma4-26b,legalbench_scalr,rag_rewrite,hit5_pct,67.43,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-gemma4-26b_rag_rewrite.md
02_accuracy_vs_hit5.png,or-gemma4-26b,legalbench_scalr,rag_rewrite,accuracy_pct,73.91,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-gemma4-26b_rag_rewrite.md
02_accuracy_vs_hit5.png,groq-llama70b,legalbench_scalr,rag_hyde,hit5_pct,61.47,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,legalbench_scalr,rag_hyde,accuracy_pct,70.40,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,legalbench_scalr,snap_hyre,hit5_pct,55.17,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,legalbench_scalr,snap_hyre,accuracy_pct,71.28,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,legalbench_scalr,rag_rewrite,hit5_pct,57.62,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_rewrite.md
02_accuracy_vs_hit5.png,groq-llama70b,legalbench_scalr,rag_rewrite,accuracy_pct,71.63,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_rewrite.md
02_accuracy_vs_hit5.png,groq-llama70b,casehold,rag_hyde,hit5_pct,51.22,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,casehold,rag_hyde,accuracy_pct,70.33,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,casehold,snap_hyre,hit5_pct,44.97,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_snap_hyre_mixed.md
02_accuracy_vs_hit5.png,groq-llama70b,casehold,snap_hyre,accuracy_pct,70.50,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_snap_hyre_mixed.md
02_accuracy_vs_hit5.png,groq-llama70b,casehold,rag_rewrite,hit5_pct,45.08,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_rewrite.md
02_accuracy_vs_hit5.png,groq-llama70b,casehold,rag_rewrite,accuracy_pct,70.61,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_rewrite.md
02_accuracy_vs_hit5.png,or-gemma4-26b,barexam,rag_simple,hit5_pct,1.42,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_accuracy_vs_hit5.png,or-gemma4-26b,barexam,rag_simple,accuracy_pct,77.99,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_or-gemma4-26b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,barexam,rag_simple,hit5_pct,1.42,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,barexam,rag_simple,accuracy_pct,74.56,docs/signoff_log.md; docs/generated/retrieval_qrels_barexam_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,or-ministral-8b,legalbench_scalr,rag_simple,hit5_pct,49.56,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_accuracy_vs_hit5.png,or-ministral-8b,legalbench_scalr,rag_simple,accuracy_pct,67.95,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_or-ministral-8b_rag_simple.md
02_accuracy_vs_hit5.png,or-gemma4-26b,legalbench_scalr,rag_simple,hit5_pct,49.56,docs/signoff_log.md
02_accuracy_vs_hit5.png,or-gemma4-26b,legalbench_scalr,rag_simple,accuracy_pct,73.38,docs/signoff_log.md
02_accuracy_vs_hit5.png,groq-llama70b,legalbench_scalr,rag_simple,hit5_pct,49.56,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,legalbench_scalr,rag_simple,accuracy_pct,72.85,docs/signoff_log.md; docs/generated/retrieval_qrels_scalr_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,casehold,rag_simple,hit5_pct,17.94,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_simple.md
02_accuracy_vs_hit5.png,groq-llama70b,casehold,rag_simple,accuracy_pct,70.75,docs/signoff_log.md; docs/generated/retrieval_qrels_casehold_groq-llama70b_rag_simple.md
03_oracle_gap.png,or-gemma4-26b,barexam,rag_simple,accuracy_pct,77.99,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,barexam,rag_simple,accuracy_pct,74.56,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,legalbench_scalr,rag_simple,accuracy_pct,72.85,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,casehold,rag_simple,accuracy_pct,70.75,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,housing,rag_simple,accuracy_pct,47.29,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,or-gemma4-26b,barexam,snap_hyre,accuracy_pct,82.01,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,barexam,snap_hyre,accuracy_pct,79.75,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,legalbench_scalr,snap_hyre,accuracy_pct,71.28,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,casehold,snap_hyre,accuracy_pct,70.50,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,or-gemma4-26b,barexam,golden_passage,accuracy_pct,78.58,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,barexam,golden_passage,accuracy_pct,79.16,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,legalbench_scalr,golden_passage,accuracy_pct,93.52,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,casehold,golden_passage,accuracy_pct,97.53,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,housing,golden_passage,accuracy_pct,67.28,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,or-gemma4-26b,barexam,golden_plus_neighbors,accuracy_pct,80.67,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,barexam,golden_plus_neighbors,accuracy_pct,77.82,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,legalbench_scalr,golden_plus_neighbors,accuracy_pct,83.01,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,casehold,golden_plus_neighbors,accuracy_pct,79.42,docs/generated/snap_hyre_package/answer_ladder_status.csv
03_oracle_gap.png,groq-llama70b,housing,golden_plus_neighbors,accuracy_pct,66.01,docs/generated/snap_hyre_package/answer_ladder_status.csv
04_retrieval_hit_curves.png,groq-llama70b,legalbench_scalr,rag_hyde,hit_at_1_pct,40.46,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,legalbench_scalr,rag_hyde,hit_at_3_pct,57.62,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,legalbench_scalr,rag_hyde,hit_at_5_pct,61.47,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,legalbench_scalr,rag_hyde,hit_at_10_pct,69.53,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,legalbench_scalr,snap_hyre,hit_at_1_pct,31.35,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,legalbench_scalr,snap_hyre,hit_at_3_pct,46.58,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,legalbench_scalr,snap_hyre,hit_at_5_pct,55.17,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,legalbench_scalr,snap_hyre,hit_at_10_pct,64.62,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,casehold,rag_hyde,hit_at_1_pct,33.03,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,casehold,rag_hyde,hit_at_3_pct,45.17,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,casehold,rag_hyde,hit_at_5_pct,51.22,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,casehold,rag_hyde,hit_at_10_pct,59.14,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,casehold,snap_hyre,hit_at_1_pct,26.08,docs/generated/snap_hyre_package/retrieval_topk_status.csv
