dataset,provider,model,mode,n,k,hit,mrr,source_path
BarExamQA,groq-llama8b,Llama 3.1 8B,snap_hyre,1195,10,0.148117,0.053771,caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_snap_hyre_k10.jsonl
BarExamQA,or-gemma4-26b,Gemma 4 26B,rag_hyde,1195,1,0.025105,0.025105,caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_rag_hyde_k10.jsonl
BarExamQA,or-gemma4-26b,Gemma 4 26B,rag_hyde,1195,3,0.071130,0.044351,caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_rag_hyde_k10.jsonl
BarExamQA,or-gemma4-26b,Gemma 4 26B,rag_hyde,1195,5,0.113808,0.054226,caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_rag_hyde_k10.jsonl
BarExamQA,or-gemma4-26b,Gemma 4 26B,rag_hyde,1195,10,0.190795,0.064316,caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_rag_hyde_k10.jsonl
BarExamQA,or-gemma4-26b,Gemma 4 26B,snap_hyre,1195,1,0.031799,0.031799,caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_snap_hyre_k10.jsonl
BarExamQA,or-gemma4-26b,Gemma 4 26B,snap_hyre,1195,3,0.079498,0.050907,caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_snap_hyre_k10.jsonl
BarExamQA,or-gemma4-26b,Gemma 4 26B,snap_hyre,1195,5,0.120502,0.060195,caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_snap_hyre_k10.jsonl
BarExamQA,or-gemma4-26b,Gemma 4 26B,snap_hyre,1195,10,0.186611,0.069052,caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_snap_hyre_k10.jsonl
BarExamQA,groq-llama70b,Llama 3.3 70B,rag_hyde,1195,1,0.025941,0.025941,caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_rag_hyde_k10.jsonl
BarExamQA,groq-llama70b,Llama 3.3 70B,rag_hyde,1195,3,0.065272,0.042678,caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_rag_hyde_k10.jsonl
BarExamQA,groq-llama70b,Llama 3.3 70B,rag_hyde,1195,5,0.104603,0.051548,caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_rag_hyde_k10.jsonl
BarExamQA,groq-llama70b,Llama 3.3 70B,rag_hyde,1195,10,0.175732,0.060854,caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_rag_hyde_k10.jsonl
BarExamQA,groq-llama70b,Llama 3.3 70B,snap_hyre,1195,1,0.030126,0.030126,caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_snap_hyre_k10.jsonl
BarExamQA,groq-llama70b,Llama 3.3 70B,snap_hyre,1195,3,0.071967,0.047699,caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_snap_hyre_k10.jsonl
BarExamQA,groq-llama70b,Llama 3.3 70B,snap_hyre,1195,5,0.110460,0.056402,caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_snap_hyre_k10.jsonl
BarExamQA,groq-llama70b,Llama 3.3 70B,snap_hyre,1195,10,0.184937,0.066260,caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_snap_hyre_k10.jsonl
HousingQA,shared,State-filtered shared,rag_simple,6853,1,0.155115,0.155115,caches/retrieval/full/housing_qfull_seed42_statefilter_raw_question_k10.jsonl
HousingQA,shared,State-filtered shared,rag_simple,6853,3,0.295345,0.216061,caches/retrieval/full/housing_qfull_seed42_statefilter_raw_question_k10.jsonl
HousingQA,shared,State-filtered shared,rag_simple,6853,5,0.369473,0.232973,caches/retrieval/full/housing_qfull_seed42_statefilter_raw_question_k10.jsonl
HousingQA,shared,State-filtered shared,rag_simple,6853,10,0.481103,0.247986,caches/retrieval/full/housing_qfull_seed42_statefilter_raw_question_k10.jsonl
HousingQA,groq-llama8b,State-filtered Llama 3.1 8B,rag_hyde,6853,1,0.111630,0.111630,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_rag_hyde_k10.jsonl
HousingQA,groq-llama8b,State-filtered Llama 3.1 8B,rag_hyde,6853,3,0.215526,0.156355,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_rag_hyde_k10.jsonl
HousingQA,groq-llama8b,State-filtered Llama 3.1 8B,rag_hyde,6853,5,0.269517,0.168751,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_rag_hyde_k10.jsonl
HousingQA,groq-llama8b,State-filtered Llama 3.1 8B,rag_hyde,6853,10,0.344958,0.178745,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_rag_hyde_k10.jsonl
HousingQA,groq-llama8b,State-filtered Llama 3.1 8B,snap_hyre,6853,1,0.129432,0.129432,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_snap_hyre_k10.jsonl
HousingQA,groq-llama8b,State-filtered Llama 3.1 8B,snap_hyre,6853,3,0.233620,0.174717,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_snap_hyre_k10.jsonl
HousingQA,groq-llama8b,State-filtered Llama 3.1 8B,snap_hyre,6853,5,0.295637,0.188835,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_snap_hyre_k10.jsonl
HousingQA,groq-llama8b,State-filtered Llama 3.1 8B,snap_hyre,6853,10,0.369619,0.198629,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_snap_hyre_k10.jsonl
HousingQA,groq-llama70b,State-filtered Llama 3.3 70B,rag_hyde,6853,1,0.157157,0.157157,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_rag_hyde_k10.jsonl
HousingQA,groq-llama70b,State-filtered Llama 3.3 70B,rag_hyde,6853,3,0.278564,0.209811,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_rag_hyde_k10.jsonl
HousingQA,groq-llama70b,State-filtered Llama 3.3 70B,rag_hyde,6853,5,0.349482,0.225979,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_rag_hyde_k10.jsonl
HousingQA,groq-llama70b,State-filtered Llama 3.3 70B,rag_hyde,6853,10,0.425653,0.236186,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_rag_hyde_k10.jsonl
HousingQA,groq-llama70b,State-filtered Llama 3.3 70B,snap_hyre,6853,1,0.093098,0.093098,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_snap_hyre_k10.jsonl
HousingQA,groq-llama70b,State-filtered Llama 3.3 70B,snap_hyre,6853,3,0.181089,0.131086,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_snap_hyre_k10.jsonl
HousingQA,groq-llama70b,State-filtered Llama 3.3 70B,snap_hyre,6853,5,0.231140,0.142694,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_snap_hyre_k10.jsonl
HousingQA,groq-llama70b,State-filtered Llama 3.3 70B,snap_hyre,6853,10,0.313002,0.153464,caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_snap_hyre_k10.jsonl
