dataset,provider,mode,total,accuracy,avg_latency_sec,avg_llm_calls,input_per_question,output_per_question,detail_log
BarExamQA,or-gemma4-26b,golden_plus_neighbors,1195,0.807000,10.5000,1.0000,1470.33,652.35,logs/eval_golden_plus_neighbors_or-gemma4-26b_20260516_233647_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl
BarExamQA,or-gemma4-26b,llm_only,1195,0.808000,,1.0025,304.35,584.67,logs/merged/eval_llm_only_or-gemma4-26b_cloudflare_tail_20260516_barexam_nfull_k5_detail.jsonl
BarExamQA,or-gemma4-26b,rag_hyde,1195,0.803000,10.8000,1.0000,1293.94,660.18,logs/eval_rag_hyde_or-gemma4-26b_20260517_040742_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_hyde-nfull-k5_detail.jsonl
BarExamQA,or-gemma4-26b,rag_rewrite,1195,0.807000,13.6000,2.0000,2006.17,720.11,logs/eval_rag_rewrite_or-gemma4-26b_20260517_124940_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_rewrite-nfull-k5_detail.jsonl
BarExamQA,or-gemma4-26b,rag_simple,1195,0.780000,10.2000,1.0000,1086.59,644.21,logs/eval_rag_simple_or-gemma4-26b_20260516_164128_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_simple-nfull-k5_detail.jsonl
BarExamQA,or-gemma4-26b,snap_hyre,1195,0.820000,10.7000,1.0000,1284.54,655.39,logs/eval_snap_hyre_or-gemma4-26b_20260517_091147_barexam_local-snap-hyre-or-gemma4-26b-barexam-snap_hyre-nfull-k5_detail.jsonl
HousingQA,groq-llama70b,golden_passage,6853,0.673000,1.1000,1.0000,1688.46,188.59,logs/eval_golden_passage_groq-llama70b_20260518_061249_housing_local-snap-hyre-groq-llama70b-housing-golden_passage-nfull-k5_detail.jsonl
HousingQA,groq-llama70b,llm_only,6853,0.448000,0.9000,1.0000,84.24,184.27,logs/eval_llm_only_groq-llama70b_20260516_203552_housing_local-snap-hyre-groq-llama70b-housing-llm_only-nfull-k5_detail.jsonl
HousingQA,groq-llama70b,rag_hyde,6853,0.622000,1.4000,1.0000,2512.87,270.32,logs/eval_rag_hyde_groq-llama70b_20260521_013539_housing_local-snap-hyre-groq-llama70b-housing-rag_hyde-nfull-k5_detail.jsonl
HousingQA,groq-llama70b,rag_simple,6853,0.621000,1.3000,1.0000,2592.83,278.36,logs/eval_rag_simple_groq-llama70b_20260520_230339_housing_local-snap-hyre-groq-llama70b-housing-rag_simple-nfull-k5_detail.jsonl
HousingQA,groq-llama8b,golden_passage,6853,0.643000,1.1000,1.0000,1693.69,98.18,logs/eval_golden_passage_groq-llama8b_20260519_140614_housing_local-snap-hyre-groq-llama8b-housing-golden_passage-nfull-k5_detail.jsonl
HousingQA,groq-llama8b,llm_only,6853,0.554000,1.1000,1.0000,86.44,186.81,logs/eval_llm_only_groq-llama8b_20260519_082209_housing_local-snap-hyre-groq-llama8b-housing-llm_only-nfull-k5_detail.jsonl
HousingQA,groq-llama8b,rag_hyde,6853,0.591000,1.0000,1.0000,2448.84,331.94,logs/eval_rag_hyde_groq-llama8b_20260520_233346_housing_local-snap-hyre-groq-llama8b-housing-rag_hyde-nfull-k5_detail.jsonl
HousingQA,groq-llama8b,rag_simple,6853,0.623000,1.1000,1.0000,2629.57,323.90,logs/eval_rag_simple_groq-llama8b_20260520_132953_housing_local-snap-hyre-groq-llama8b-housing-rag_simple-nfull-k5_detail.jsonl
HousingQA,groq-llama8b,snap_hyre,6853,0.590000,1.0000,1.0000,2377.38,320.68,logs/eval_snap_hyre_groq-llama8b_20260521_041736_housing_local-snap-hyre-groq-llama8b-housing-snap_hyre-nfull-k5_detail.jsonl
HousingQA,groq-llama70b,snap_hyre,6853,0.596000,1.0000,1.0000,2156.10,280.86,logs/merged/housing_groq-llama70b_snap_hyre_statefilter_full_20260520_detail.jsonl
