idx,question,answer,type,level,gold_idx,gold_titles,answer_aliases
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,bridge,hard,"hotpotqa_5a7166395542994082a3e814_4,hotpotqa_5a7166395542994082a3e814_9","[""Kansas Song"", ""University of Kansas""]",[]
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,bridge,hard,"hotpotqa_5a877e5d5542993e715abf7d_3,hotpotqa_5a877e5d5542993e715abf7d_9","[""David Weissman"", ""The Family Man""]",[]
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,bridge,hard,"hotpotqa_5ab3b0bf5542992ade7c6e39_8,hotpotqa_5ab3b0bf5542992ade7c6e39_7","[""Oh My God (Guns N' Roses song)"", ""End of Days (film)""]",[]
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,comparison,hard,"hotpotqa_5ab56e32554299637185c594_4,hotpotqa_5ab56e32554299637185c594_3","[""Random House Tower"", ""888 7th Avenue""]",[]
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,bridge,hard,"hotpotqa_5ab6d09255429954757d337d_5,hotpotqa_5ab6d09255429954757d337d_9","[""1995\u201396 Manchester United F.C. season"", ""Alex Ferguson""]",[]
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",bridge,hard,"hotpotqa_5a75e05c55429976ec32bc5f_2,hotpotqa_5a75e05c55429976ec32bc5f_9","[""Brown State Fishing Lake"", ""Brown County, Kansas""]",[]
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,bridge,hard,"hotpotqa_5ab3e45655429976abd1bcd4_4,hotpotqa_5ab3e45655429976abd1bcd4_3","[""Vermont Catamounts men's soccer"", ""America East Conference""]",[]
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,comparison,hard,"hotpotqa_5ab29c24554299449642c932_3,hotpotqa_5ab29c24554299449642c932_5","[""Giuseppe Verdi"", ""Ambroise Thomas""]",[]
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,bridge,hard,"hotpotqa_5ae0d4c9554299603e418468_8,hotpotqa_5ae0d4c9554299603e418468_2","[""Roger O. Egeberg"", ""Richard Nixon""]",[]
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,comparison,hard,"hotpotqa_5a8133725542995ce29dcbdb_1,hotpotqa_5a8133725542995ce29dcbdb_6","[""Henry Roth"", ""Robert Erskine Childers""]",[]
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,bridge,hard,"hotpotqa_5ae7a8175542993210983ed8_8,hotpotqa_5ae7a8175542993210983ed8_3","[""Formula One drivers from Mexico"", ""Sergio P\u00e9rez""]",[]
5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,bridge,hard,"hotpotqa_5ae6050f55429929b0807a5e_8,hotpotqa_5ae6050f55429929b0807a5e_5","[""A Rather Blustery Day"", ""Jim Cummings""]",[]
5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,bridge,hard,"hotpotqa_5adddccd5542997dc7907069_2,hotpotqa_5adddccd5542997dc7907069_5","[""Apple Remote"", ""Front Row (software)""]",[]
5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,comparison,hard,"hotpotqa_5ae2070a5542994d89d5b313_6,hotpotqa_5ae2070a5542994d89d5b313_0","[""Badly Drawn Boy"", ""Wolf Alice""]",[]
5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,bridge,hard,"hotpotqa_5ae22b8d554299234fd0440f_8,hotpotqa_5ae22b8d554299234fd0440f_2","[""Kasper Schmeichel"", ""Peter Schmeichel""]",[]
5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,bridge,hard,"hotpotqa_5a722b8655429971e9dc9329_7,hotpotqa_5a722b8655429971e9dc9329_9","[""These Boots Are Made for Walkin'"", ""Lee Hazlewood""]",[]
5adf37a95542995ec70e8f97,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,bridge,hard,"hotpotqa_5adf37a95542995ec70e8f97_5,hotpotqa_5adf37a95542995ec70e8f97_3","[""2011\u201312 VCU Rams men's basketball team"", ""Virginia Commonwealth University""]",[]
5abd259d55429924427fcf1a,"Are both Dictyosperma, and Huernia described as a genus?",yes,comparison,hard,"hotpotqa_5abd259d55429924427fcf1a_0,hotpotqa_5abd259d55429924427fcf1a_1","[""Dictyosperma"", ""Huernia""]",[]
5a828c8355429966c78a6a50,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,bridge,hard,"hotpotqa_5a828c8355429966c78a6a50_5,hotpotqa_5a828c8355429966c78a6a50_6","[""Kaiser Ventures"", ""Henry J. Kaiser""]",[]
5a8a3e745542996c9b8d5e70,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,bridge,hard,"hotpotqa_5a8a3e745542996c9b8d5e70_8,hotpotqa_5a8a3e745542996c9b8d5e70_1","[""Arena of Khazan"", ""Tunnels &amp; Trolls""]",[]
5ac23ff0554299636651994d,"When was Poison's album ""Shut Up, Make Love"" released?",2000,bridge,hard,"hotpotqa_5ac23ff0554299636651994d_9,hotpotqa_5ac23ff0554299636651994d_5","[""Shut Up, Make Love"", ""Poison (American band)""]",[]
5ae4a3265542995ad6573de5,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma",comparison,hard,"hotpotqa_5ae4a3265542995ad6573de5_1,hotpotqa_5ae4a3265542995ad6573de5_5","[""Hayden (musician)"", ""Buck-Tick""]",[]
5ae0361155429925eb1afc2c,Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Eugène,bridge,hard,"hotpotqa_5ae0361155429925eb1afc2c_9,hotpotqa_5ae0361155429925eb1afc2c_3","[""L'Oiseau Blanc"", ""Charles Nungesser""]",[]
5abc0a5d5542993f40c73c64,Are Freakonomics and In the Realm of the Hackers both American documentaries?,no,comparison,hard,"hotpotqa_5abc0a5d5542993f40c73c64_8,hotpotqa_5abc0a5d5542993f40c73c64_7","[""Freakonomics (film)"", ""In the Realm of the Hackers""]",[]
5a7cc50e554299452d57ba3e,"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo,comparison,hard,"hotpotqa_5a7cc50e554299452d57ba3e_0,hotpotqa_5a7cc50e554299452d57ba3e_7","[""Letters to Cleo"", ""Screaming Trees""]",[]
5abf63f15542997ec76fd3ea,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,October 1922,bridge,hard,"hotpotqa_5abf63f15542997ec76fd3ea_0,hotpotqa_5abf63f15542997ec76fd3ea_7","[""Socialist Revolutionary Party"", ""Russian Civil War""]",[]
5a8ef2a75542995a26add583,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,bridge,hard,"hotpotqa_5a8ef2a75542995a26add583_9,hotpotqa_5a8ef2a75542995a26add583_5","[""Seven Brief Lessons on Physics"", ""Carlo Rovelli""]",[]
5a80721b554299485f5985ef,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,bridge,hard,"hotpotqa_5a80721b554299485f5985ef_0,hotpotqa_5a80721b554299485f5985ef_9","[""Livesey Hall War Memorial"", ""World War II casualties""]",[]
5ab51dae5542991779162d82,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,comparison,hard,"hotpotqa_5ab51dae5542991779162d82_2,hotpotqa_5ab51dae5542991779162d82_3","[""Elko Regional Airport"", ""Gerald R. Ford International Airport""]",[]
5a7571135542992d0ec05f98,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,bridge,hard,"hotpotqa_5a7571135542992d0ec05f98_7,hotpotqa_5a7571135542992d0ec05f98_9","[""Ralph Hefferline"", ""Columbia University""]",[]
5a7a0e1e5542990783324e1a,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,Scotch Collie,comparison,hard,"hotpotqa_5a7a0e1e5542990783324e1a_1,hotpotqa_5a7a0e1e5542990783324e1a_7","[""Manchester Terrier"", ""Scotch Collie""]",[]
5a74106b55429979e288289e,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,bridge,hard,"hotpotqa_5a74106b55429979e288289e_4,hotpotqa_5a74106b55429979e288289e_6","[""Sachin Warrier"", ""Tata Consultancy Services""]",[]
5a79311755429970f5fffe67,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,bridge,hard,"hotpotqa_5a79311755429970f5fffe67_1,hotpotqa_5a79311755429970f5fffe67_9","[""Masakazu Katsura"", ""I&quot;s""]",[]
5ab2d3df554299194fa9352c,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty,bridge,hard,"hotpotqa_5ab2d3df554299194fa9352c_7,hotpotqa_5ab2d3df554299194fa9352c_5","[""Giuseppe Arimondi"", ""Battle of Adwa""]",[]
5a760ab65542994ccc918697,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,bridge,hard,"hotpotqa_5a760ab65542994ccc918697_8,hotpotqa_5a760ab65542994ccc918697_2","[""Alfred Balk"", ""Nelson Rockefeller""]",[]
5a7d54165542995f4f402256,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Yellowcraig,bridge,hard,"hotpotqa_5a7d54165542995f4f402256_5,hotpotqa_5a7d54165542995f4f402256_6","[""Yellowcraigs"", ""Dirleton Castle""]",[]
5ab859a955429934fafe6d7b,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector,bridge,hard,"hotpotqa_5ab859a955429934fafe6d7b_2,hotpotqa_5ab859a955429934fafe6d7b_8","[""Back to Mono (1958\u20131969)"", ""To Know Him Is to Love Him""]",[]
5add61d65542995b365fab21,What type of forum did a former Soviet statesman initiate?,Organizations could come together to address global issues,bridge,hard,"hotpotqa_5add61d65542995b365fab21_5,hotpotqa_5add61d65542995b365fab21_7","[""World Summit of Nobel Peace Laureates"", ""Mikhail Gorbachev""]",[]
5a8e068b5542995085b37384,Are Ferocactus and Silene both types of plant?,yes,comparison,hard,"hotpotqa_5a8e068b5542995085b37384_7,hotpotqa_5a8e068b5542995085b37384_3","[""Ferocactus"", ""Silene""]",[]
5abbf698554299114383a0b5,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,bridge,hard,"hotpotqa_5abbf698554299114383a0b5_0,hotpotqa_5abbf698554299114383a0b5_2","[""No. 2 Squadron RAAF"", ""English Electric Canberra""]",[]
5a8e1027554299653c1aa15f,Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,2009 Big 12 Conference,bridge,hard,"hotpotqa_5a8e1027554299653c1aa15f_2,hotpotqa_5a8e1027554299653c1aa15f_8","[""2009 Colorado Buffaloes football team"", ""2009 Big 12 Conference football season""]",[]
5ab84bf555429916710eb01f,In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,"1,462",bridge,hard,"hotpotqa_5ab84bf555429916710eb01f_8,hotpotqa_5ab84bf555429916710eb01f_4","[""Euromarch\u00e9"", ""Carrefour""]",[]
5a77724455429972597f153e,What race track in the midwest hosts a 500 mile race eavery May?,Indianapolis Motor Speedway,bridge,hard,"hotpotqa_5a77724455429972597f153e_7,hotpotqa_5a77724455429972597f153e_3","[""1957 Indianapolis 500"", ""Indianapolis Motor Speedway""]",[]
5a87c13f5542996e4f30890c,"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",Rome,bridge,hard,"hotpotqa_5a87c13f5542996e4f30890c_6,hotpotqa_5a87c13f5542996e4f30890c_3","[""Tosca (1956 film)"", ""Franco Corelli""]",[]
5ab96ab755429970cfb8eacd,"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh",bridge,hard,"hotpotqa_5ab96ab755429970cfb8eacd_7,hotpotqa_5ab96ab755429970cfb8eacd_3","[""Delirium (Ellie Goulding album)"", ""On My Mind (Ellie Goulding song)""]",[]
5a8a43eb5542996c9b8d5e82,Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,"Marion, South Australia",bridge,hard,"hotpotqa_5a8a43eb5542996c9b8d5e82_9,hotpotqa_5a8a43eb5542996c9b8d5e82_3","[""Westminster School, Adelaide"", ""Marion, South Australia""]",[]
5ae73acb5542991e8301cc07,D1NZ is a series based on what oversteering technique?,Drifting,bridge,hard,"hotpotqa_5ae73acb5542991e8301cc07_8,hotpotqa_5ae73acb5542991e8301cc07_7","[""D1NZ"", ""Drifting (motorsport)""]",[]
5a7320565542991f9a20c61d,who is younger Keith Bostic or Jerry Glanville ?,Keith Bostic,bridge,hard,"hotpotqa_5a7320565542991f9a20c61d_9,hotpotqa_5a7320565542991f9a20c61d_5","[""Keith Bostic (American football)"", ""Jerry Glanville""]",[]
5ae32e125542991a06ce9946,"According to the 2001 census, what was the population of the city in which Kirton End is located?","35,124",bridge,hard,"hotpotqa_5ae32e125542991a06ce9946_9,hotpotqa_5ae32e125542991a06ce9946_3","[""Kirton End"", ""Boston, Lincolnshire""]",[]
5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,no,comparison,hard,"hotpotqa_5adc53f75542996e6852530a_9,hotpotqa_5adc53f75542996e6852530a_2","[""Cypress"", ""Ajuga""]",[]
5a8b20335542996c9b8d5fb3,What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,shortest player ever to play in the National Basketball Association,bridge,hard,"hotpotqa_5a8b20335542996c9b8d5fb3_2,hotpotqa_5a8b20335542996c9b8d5fb3_8","[""1992\u201393 Charlotte Hornets season"", ""Muggsy Bogues""]",[]
5a85fb085542994775f606de,What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,Ronald Shusett,bridge,hard,"hotpotqa_5a85fb085542994775f606de_1,hotpotqa_5a85fb085542994775f606de_6","[""Alien (soundtrack)"", ""Alien (film)""]",[]
5a7be2595542997c3ec972ac,"Who was born earlier, Emma Bull or Virginia Woolf?",Adeline Virginia Woolf,comparison,hard,"hotpotqa_5a7be2595542997c3ec972ac_1,hotpotqa_5a7be2595542997c3ec972ac_2","[""Emma Bull"", ""Virginia Woolf""]",[]
5a77152355429966f1a36c2e,What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,821,bridge,hard,"hotpotqa_5a77152355429966f1a36c2e_9,hotpotqa_5a77152355429966f1a36c2e_8","[""What Are Little Girls Made Of?"", ""What Are Little Boys Made Of?""]",[]
5a8f4c8d554299458435d5a3,Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,more than 70 countries,bridge,hard,"hotpotqa_5a8f4c8d554299458435d5a3_2,hotpotqa_5a8f4c8d554299458435d5a3_3","[""Scott Parkin"", ""Halliburton""]",[]
5a80840f554299485f59863b,What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,Charmed,bridge,hard,"hotpotqa_5a80840f554299485f59863b_5,hotpotqa_5a80840f554299485f59863b_3","[""Jawbreaker (film)"", ""Rose McGowan""]",[]
5a8361b65542992ef85e22a0,Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,International Boxing Hall of Fame,bridge,hard,"hotpotqa_5a8361b65542992ef85e22a0_2,hotpotqa_5a8361b65542992ef85e22a0_8","[""Vince Phillips"", ""International Boxing Federation""]",[]
5ae7ba7a5542993210983f12,"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",Usher,bridge,hard,"hotpotqa_5ae7ba7a5542993210983f12_4,hotpotqa_5ae7ba7a5542993210983f12_8","[""I Don't Wanna Know"", ""Yeah! (Usher song)""]",[]
5ac2acff55429921a00ab02b,who is the younger brother of The episode guest stars of The Hard Easy ,Bill Murray,bridge,hard,"hotpotqa_5ac2acff55429921a00ab02b_6,hotpotqa_5ac2acff55429921a00ab02b_4","[""The Hard Easy (Adventure Time)"", ""Brian Doyle-Murray""]",[]
5aba7cfe554299232ef4a2fd,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup,bridge,hard,"hotpotqa_5aba7cfe554299232ef4a2fd_0,hotpotqa_5aba7cfe554299232ef4a2fd_2","[""2017\u201318 Wigan Athletic F.C. season"", ""EFL Cup""]",[]
5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Teen Titans Go!,bridge,hard,"hotpotqa_5ae5aba0554299546bf82f17_2,hotpotqa_5ae5aba0554299546bf82f17_4","[""Tara Strong"", ""Teen Titans Go! (TV series)""]",[]
5ae1f4cb554299234fd0436d,What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,"276,170 inhabitants",bridge,hard,"hotpotqa_5ae1f4cb554299234fd0436d_0,hotpotqa_5ae1f4cb554299234fd0436d_3","[""122nd SS-Standarte"", ""Strasbourg""]",[]
5ae7e1fc55429952e35ea9cc,What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,orange,bridge,hard,"hotpotqa_5ae7e1fc55429952e35ea9cc_7,hotpotqa_5ae7e1fc55429952e35ea9cc_3","[""Oranjegekte"", ""Koningsdag""]",[]
5ae37c765542992f92d822d4,"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",Tromeo and Juliet,bridge,hard,"hotpotqa_5ae37c765542992f92d822d4_7,hotpotqa_5ae37c765542992f92d822d4_5","[""James Gunn"", ""Tromeo and Juliet""]",[]
5ae33c4d5542992f92d82262,Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?,William Jefferson Clinton,bridge,hard,"hotpotqa_5ae33c4d5542992f92d82262_4,hotpotqa_5ae33c4d5542992f92d82262_5","[""Robert Suettinger"", ""Bill Clinton""]",[]
5a77cb335542997042120b3a,What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,John John Florence,bridge,hard,"hotpotqa_5a77cb335542997042120b3a_9,hotpotqa_5a77cb335542997042120b3a_2","[""MEO Rip Curl Pro Portugal"", ""John John Florence""]",[]
5a8979f4554299669944a52e,What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Ann,bridge,hard,"hotpotqa_5a8979f4554299669944a52e_6,hotpotqa_5a8979f4554299669944a52e_4","[""Bobbi Bacha"", ""Sela Ward""]",[]
5a713ea95542994082a3e6e4,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Apalachees,bridge,hard,"hotpotqa_5a713ea95542994082a3e6e4_4,hotpotqa_5a713ea95542994082a3e6e4_9","[""Alvaro Mexia"", ""Indigenous peoples of Florida""]",[]
5a78bd9b554299078472774a,What nationality were social anthropologists Alfred Gell and Edmund Leach?,British,bridge,hard,"hotpotqa_5a78bd9b554299078472774a_8,hotpotqa_5a78bd9b554299078472774a_0","[""Alfred Gell"", ""Edmund Leach""]",[]
5a7625e8554299109176e66a,In which year was the King who made the 1925 Birthday Honours born?,1865,bridge,hard,"hotpotqa_5a7625e8554299109176e66a_9,hotpotqa_5a7625e8554299109176e66a_6","[""1925 Birthday Honours"", ""George V""]",[]
5ae2dd2055429928c423950d,"What is the county seat of the county where East Lempster, New Hampshire is located?",Newport,bridge,hard,"hotpotqa_5ae2dd2055429928c423950d_7,hotpotqa_5ae2dd2055429928c423950d_2","[""East Lempster, New Hampshire"", ""Sullivan County, New Hampshire""]",[]
5abdf12255429976d4830a2f,The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,Bob Seger,bridge,hard,"hotpotqa_5abdf12255429976d4830a2f_3,hotpotqa_5abdf12255429976d4830a2f_2","[""Against the Wind (album)"", ""Bob Seger""]",[]
5a88658955429938390d3f47,Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,Conscription,bridge,hard,"hotpotqa_5a88658955429938390d3f47_1,hotpotqa_5a88658955429938390d3f47_6","[""Rostker v. Goldberg"", ""Conscription in the United States""]",[]
5a86ebac55429960ec39b6d6,"Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?","Mondelez International, Inc.",bridge,hard,"hotpotqa_5a86ebac55429960ec39b6d6_8,hotpotqa_5a86ebac55429960ec39b6d6_9","[""Handi-Snacks"", ""Mondelez International""]",[]
5aba5d2e55429901930fa799,"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",Monica Lewinsky,bridge,hard,"hotpotqa_5aba5d2e55429901930fa799_4,hotpotqa_5aba5d2e55429901930fa799_8","[""Their Lives"", ""Monica Lewinsky""]",[]
5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","April 1, 1949",bridge,hard,"hotpotqa_5ae5736e5542990ba0bbb2b3_4,hotpotqa_5ae5736e5542990ba0bbb2b3_0","[""Trump campaign\u2013Russian meeting"", ""Paul Manafort""]",[]
5ae005b555429942ec259bec,"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",1866,bridge,hard,"hotpotqa_5ae005b555429942ec259bec_8,hotpotqa_5ae005b555429942ec259bec_1","[""Louren\u00e7o Mutarelli"", ""Crime and Punishment""]",[]
5a7759fc5542993569682d60,Where are Teide National Park and Garajonay National Park located?,"Canary Islands, Spain",comparison,hard,"hotpotqa_5a7759fc5542993569682d60_2,hotpotqa_5a7759fc5542993569682d60_1","[""Teide National Park"", ""Garajonay National Park""]",[]
5a835478554299123d8c20ed,How many copies of Roald Dahl's variation on a popular anecdote sold?,250 million,bridge,hard,"hotpotqa_5a835478554299123d8c20ed_7,hotpotqa_5a835478554299123d8c20ed_2","[""Mrs. Bixby and the Colonel's Coat"", ""Roald Dahl""]",[]
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,comparison,hard,"hotpotqa_5aba749055429901930fa7d8_7,hotpotqa_5aba749055429901930fa7d8_4","[""Aram Avakian"", ""Chris Menges""]",[]
5abfb3425542990832d3a1c0,Andrew Jaspan was the co-founder of what not-for-profit media outlet?,The Conversation,bridge,hard,"hotpotqa_5abfb3425542990832d3a1c0_2,hotpotqa_5abfb3425542990832d3a1c0_4","[""Andrew Jaspan"", ""The Conversation (website)""]",[]
5ac3165c5542995ef918c10a,Which American film director hosted the 18th Independent Spirit Awards in 2002?,John Waters,bridge,hard,"hotpotqa_5ac3165c5542995ef918c10a_6,hotpotqa_5ac3165c5542995ef918c10a_5","[""18th Independent Spirit Awards"", ""John Waters""]",[]
5ae53b545542990ba0bbb23c,Where does the hotel and casino located in which Bill Cosby's third album was recorded?,Las Vegas Strip in Paradise,bridge,hard,"hotpotqa_5ae53b545542990ba0bbb23c_2,hotpotqa_5ae53b545542990ba0bbb23c_1","[""Why Is There Air?"", ""Flamingo Las Vegas""]",[]
5ae224da554299234fd043ee,Do the drinks Gibson and Zurracapote both contain gin?,no,comparison,hard,"hotpotqa_5ae224da554299234fd043ee_5,hotpotqa_5ae224da554299234fd043ee_8","[""Gibson (cocktail)"", ""Zurracapote""]",[]
5ae2b770554299495565db0f,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,bridge,hard,"hotpotqa_5ae2b770554299495565db0f_0,hotpotqa_5ae2b770554299495565db0f_4","[""London International Documentary Festival"", ""London Review of Books""]",[]
5a80b3a9554299485f5986cc,Tysons Galleria is located in what county?,Fairfax County,bridge,hard,"hotpotqa_5a80b3a9554299485f5986cc_8,hotpotqa_5a80b3a9554299485f5986cc_1","[""McLean, Virginia"", ""Tysons Galleria""]",[]
