provider,dataset,mode,run_id,tag,n_questions,accuracy,correct,total,avg_llm_calls,total_input_tokens,total_output_tokens,detail_status,detail_rows,missing_pred,error_rows,long_rows,fallback_rows,missing_oracle_rows,detail_log
groq-llama8b,barexam,rag_hyde,20260518_225428_rag_hyde_groq-llama8b_local-snap-hyre-groq-llama8b-barexam-rag_hyde-nfull-k5,local-snap-hyre-groq-llama8b-barexam-rag_hyde-nfull-k5,1195,0.5607,670,1195,1.0,1545778,446960,clean,1195,0,0,0,0,0,logs/eval_rag_hyde_groq-llama8b_20260518_225428_barexam_local-snap-hyre-groq-llama8b-barexam-rag_hyde-nfull-k5_detail.jsonl
groq-llama8b,barexam,rag_rewrite,20260518_233753_rag_rewrite_groq-llama8b_local-snap-hyre-groq-llama8b-barexam-rag_rewrite-nfull-k5,local-snap-hyre-groq-llama8b-barexam-rag_rewrite-nfull-k5,1195,0.5732,685,1195,2.0,2398935,538702,clean,1195,0,0,0,0,0,logs/eval_rag_rewrite_groq-llama8b_20260518_233753_barexam_local-snap-hyre-groq-llama8b-barexam-rag_rewrite-nfull-k5_detail.jsonl
groq-llama8b,barexam,rag_simple,20260518_211000_rag_simple_groq-llama8b_local-snap-hyre-groq-llama8b-barexam-rag_simple-nfull-k5,local-snap-hyre-groq-llama8b-barexam-rag_simple-nfull-k5,1195,0.5448,651,1195,1.0,1302667,436164,clean,1195,0,0,0,0,0,logs/eval_rag_simple_groq-llama8b_20260518_211000_barexam_local-snap-hyre-groq-llama8b-barexam-rag_simple-nfull-k5_detail.jsonl
groq-llama8b,barexam,snap_hyre,20260518_231747_snap_hyre_groq-llama8b_local-snap-hyre-groq-llama8b-barexam-snap_hyre-nfull-k5,local-snap-hyre-groq-llama8b-barexam-snap_hyre-nfull-k5,1195,0.569,680,1195,1.0,1504666,425696,clean,1195,0,0,0,0,0,logs/eval_snap_hyre_groq-llama8b_20260518_231747_barexam_local-snap-hyre-groq-llama8b-barexam-snap_hyre-nfull-k5_detail.jsonl
or-gemma4-26b,barexam,golden_passage,20260516_200935_golden_passage_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-barexam-golden_passage-nfull-k5,local-snap-hyre-or-gemma4-26b-barexam-golden_passage-nfull-k5,1195,0.7858,939,1195,1.0,611086,765707,clean,1195,0,0,0,0,0,logs/eval_golden_passage_or-gemma4-26b_20260516_200935_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_passage-nfull-k5_detail.jsonl
or-gemma4-26b,barexam,golden_plus_neighbors,20260516_233647_golden_plus_neighbors_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-barexam-golden_plus_neighbors-nfull-k5,local-snap-hyre-or-gemma4-26b-barexam-golden_plus_neighbors-nfull-k5,1195,0.8067,964,1195,1.0,1757047,779558,clean,1195,0,0,0,0,0,logs/eval_golden_plus_neighbors_or-gemma4-26b_20260516_233647_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl
or-gemma4-26b,barexam,llm_only,eval_llm_only_or-gemma4-26b_cloudflare_tail_20260516_barexam_nfull_k5_detail,detail-log-scan,1195,0.80836820083682,966,1195,,,,clean,1195,0,0,0,0,0,logs/merged/eval_llm_only_or-gemma4-26b_cloudflare_tail_20260516_barexam_nfull_k5_detail.jsonl
or-gemma4-26b,barexam,rag_hyde,20260517_040742_rag_hyde_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-barexam-rag_hyde-nfull-k5,local-snap-hyre-or-gemma4-26b-barexam-rag_hyde-nfull-k5,1195,0.8025,959,1195,1.0,1546257,788916,clean,1195,0,0,0,0,0,logs/eval_rag_hyde_or-gemma4-26b_20260517_040742_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_hyde-nfull-k5_detail.jsonl
or-gemma4-26b,barexam,rag_rewrite,20260517_124940_rag_rewrite_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-barexam-rag_rewrite-nfull-k5,local-snap-hyre-or-gemma4-26b-barexam-rag_rewrite-nfull-k5,1195,0.8067,964,1195,2.0,2397368,860527,clean,1195,0,0,0,0,0,logs/eval_rag_rewrite_or-gemma4-26b_20260517_124940_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_rewrite-nfull-k5_detail.jsonl
or-gemma4-26b,barexam,rag_simple,20260516_164128_rag_simple_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-barexam-rag_simple-nfull-k5,local-snap-hyre-or-gemma4-26b-barexam-rag_simple-nfull-k5,1195,0.7799,932,1195,1.0,1298471,769831,clean,1195,0,0,0,0,0,logs/eval_rag_simple_or-gemma4-26b_20260516_164128_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_simple-nfull-k5_detail.jsonl
or-gemma4-26b,barexam,snap_hyre,20260517_091147_snap_hyre_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-barexam-snap_hyre-nfull-k5,local-snap-hyre-or-gemma4-26b-barexam-snap_hyre-nfull-k5,1195,0.8201,980,1195,1.0,1535023,783190,clean,1195,0,0,0,0,0,logs/eval_snap_hyre_or-gemma4-26b_20260517_091147_barexam_local-snap-hyre-or-gemma4-26b-barexam-snap_hyre-nfull-k5_detail.jsonl
groq-llama70b,casehold,golden_passage,20260516_032635_golden_passage_groq-llama70b_local-snap-hyre-groq-llama70b-casehold-golden_passage-nfull-k5,local-snap-hyre-groq-llama70b-casehold-golden_passage-nfull-k5,3600,0.9753,3511,3600,1.0,1840478,1324360,clean,3600,0,0,0,0,0,logs/eval_golden_passage_groq-llama70b_20260516_032635_casehold_local-snap-hyre-groq-llama70b-casehold-golden_passage-nfull-k5_detail.jsonl
groq-llama70b,casehold,golden_plus_neighbors,20260516_045222_golden_plus_neighbors_groq-llama70b_local-snap-hyre-groq-llama70b-casehold-golden_plus_neighbors-nfull-k5,local-snap-hyre-groq-llama70b-casehold-golden_plus_neighbors-nfull-k5,3600,0.7942,2859,3600,1.0,2624018,973727,clean,3600,0,0,0,0,0,logs/eval_golden_plus_neighbors_groq-llama70b_20260516_045222_casehold_local-snap-hyre-groq-llama70b-casehold-golden_plus_neighbors-nfull-k5_detail.jsonl
groq-llama70b,casehold,llm_only,20260516_003945_llm_only_groq-llama70b_local-snap-hyre-groq-llama70b-casehold-llm_only-nfull-k5,local-snap-hyre-groq-llama70b-casehold-llm_only-nfull-k5,3600,0.7181,2585,3600,1.0,1684764,1318884,clean,3600,0,0,0,0,0,logs/eval_llm_only_groq-llama70b_20260516_003945_casehold_local-snap-hyre-groq-llama70b-casehold-llm_only-nfull-k5_detail.jsonl
groq-llama70b,casehold,rag_hyde,eval_rag_hyde_llama70b_mixed_20260516_casehold_nfull_k5_detail,detail-log-scan,3600,0.7033333333333334,2532,3600,,,,clean,3600,0,0,0,0,0,logs/merged/eval_rag_hyde_llama70b_mixed_20260516_casehold_nfull_k5_detail.jsonl
groq-llama70b,casehold,rag_rewrite,20260516_130926_rag_rewrite_groq-llama70b_local-snap-hyre-groq-llama70b-casehold-rag_rewrite-nfull-k5,local-snap-hyre-groq-llama70b-casehold-rag_rewrite-nfull-k5,3600,0.7061,2542,3600,2.0,5763612,1621870,clean,3600,0,0,0,0,0,logs/eval_rag_rewrite_groq-llama70b_20260516_130926_casehold_local-snap-hyre-groq-llama70b-casehold-rag_rewrite-nfull-k5_detail.jsonl
groq-llama70b,casehold,rag_simple,20260516_020605_rag_simple_groq-llama70b_local-snap-hyre-groq-llama70b-casehold-rag_simple-nfull-k5,local-snap-hyre-groq-llama70b-casehold-rag_simple-nfull-k5,3600,0.7075,2547,3600,1.0,2683488,1144373,clean,3600,0,0,0,0,0,logs/eval_rag_simple_groq-llama70b_20260516_020605_casehold_local-snap-hyre-groq-llama70b-casehold-rag_simple-nfull-k5_detail.jsonl
groq-llama70b,casehold,snap_hyre,20260516_mixed_snap_hyre_groq-llama70b_casehold_nfull_k5,local-snap-hyre-groq-llama70b-casehold-snap_hyre-nfull-k5; mixed-same-model-provider-prefix; repaired-cache-row,3600,0.705,2538,3600,1.0044,2654880,1082633,clean,3600,0,0,0,0,0,logs/merged/eval_snap_hyre_llama70b_mixed_20260516_casehold_nfull_k5_detail.jsonl
or-gemma4-26b,casehold,llm_only,20260517_200915_llm_only_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-casehold-llm_only-nfull-k5,local-snap-hyre-or-gemma4-26b-casehold-llm_only-nfull-k5,3600,0.7261,2614,3600,1.0,1683935,2092901,clean,3600,0,0,0,0,0,logs/eval_llm_only_or-gemma4-26b_20260517_200915_casehold_local-snap-hyre-or-gemma4-26b-casehold-llm_only-nfull-k5_detail.jsonl
groq-llama70b,housing,golden_passage,20260518_061249_golden_passage_groq-llama70b_local-snap-hyre-groq-llama70b-housing-golden_passage-nfull-k5,local-snap-hyre-groq-llama70b-housing-golden_passage-nfull-k5,6853,0.6728,4611,6853,1.0,11571029,1292420,clean,6853,0,0,0,0,0,logs/eval_golden_passage_groq-llama70b_20260518_061249_housing_local-snap-hyre-groq-llama70b-housing-golden_passage-nfull-k5_detail.jsonl
groq-llama70b,housing,golden_plus_neighbors,20260518_033525_golden_plus_neighbors_groq-llama70b_local-snap-hyre-groq-llama70b-housing-golden_plus_neighbors-nfull-k5,local-snap-hyre-groq-llama70b-housing-golden_plus_neighbors-nfull-k5,6853,0.6601,4524,6853,1.0,29125644,1233444,clean,6853,0,0,0,0,0,logs/eval_golden_plus_neighbors_groq-llama70b_20260518_033525_housing_local-snap-hyre-groq-llama70b-housing-golden_plus_neighbors-nfull-k5_detail.jsonl
groq-llama70b,housing,llm_only,20260516_203552_llm_only_groq-llama70b_local-snap-hyre-groq-llama70b-housing-llm_only-nfull-k5,local-snap-hyre-groq-llama70b-housing-llm_only-nfull-k5,6853,0.4475,3067,6853,1.0,577327,1262829,clean,6853,0,0,0,0,0,logs/eval_llm_only_groq-llama70b_20260516_203552_housing_local-snap-hyre-groq-llama70b-housing-llm_only-nfull-k5_detail.jsonl
groq-llama70b,housing,rag_hyde,eval_rag_hyde_groq-llama70b_20260519_housing_nfull_k5_merged_detail,detail-log-scan,6853,0.5886473077484313,4034,6853,,,,clean,6853,0,0,0,0,0,logs/merged/eval_rag_hyde_groq-llama70b_20260519_housing_nfull_k5_merged_detail.jsonl
groq-llama70b,housing,rag_rewrite,eval_rag_rewrite_groq-llama70b_20260520_housing_nfull_k5_merged_detail,detail-log-scan,6853,0.5584415584415584,3827,6853,,,,clean,6853,0,0,0,0,0,logs/merged/eval_rag_rewrite_groq-llama70b_20260520_housing_nfull_k5_merged_detail.jsonl
groq-llama70b,housing,rag_simple,20260520_230339_rag_simple_groq-llama70b_local-snap-hyre-groq-llama70b-housing-rag_simple-nfull-k5,local-snap-hyre-groq-llama70b-housing-rag_simple-nfull-k5,6853,0.6213,4258,6853,1.0,17768636,1907590,clean,6853,0,0,0,0,0,logs/eval_rag_simple_groq-llama70b_20260520_230339_housing_local-snap-hyre-groq-llama70b-housing-rag_simple-nfull-k5_detail.jsonl
groq-llama70b,housing,snap_hyre,housing_groq-llama70b_snap_hyre_statefilter_full_20260520_detail,detail-log-scan,6853,0.5963811469429448,4087,6853,,,,clean,6853,0,0,0,0,0,logs/merged/housing_groq-llama70b_snap_hyre_statefilter_full_20260520_detail.jsonl
groq-llama8b,housing,golden_passage,20260519_140614_golden_passage_groq-llama8b_local-snap-hyre-groq-llama8b-housing-golden_passage-nfull-k5,local-snap-hyre-groq-llama8b-housing-golden_passage-nfull-k5,6853,0.6432,4408,6853,1.0,11606861,672859,clean,6853,0,0,0,0,0,logs/eval_golden_passage_groq-llama8b_20260519_140614_housing_local-snap-hyre-groq-llama8b-housing-golden_passage-nfull-k5_detail.jsonl
groq-llama8b,housing,golden_plus_neighbors,20260519_141204_golden_plus_neighbors_groq-llama8b_local-snap-hyre-groq-llama8b-housing-golden_plus_neighbors-nfull-k5,local-snap-hyre-groq-llama8b-housing-golden_plus_neighbors-nfull-k5,6853,0.638,4372,6853,1.0,29465177,1743616,clean,6853,0,0,0,0,0,logs/eval_golden_plus_neighbors_groq-llama8b_20260519_141204_housing_local-snap-hyre-groq-llama8b-housing-golden_plus_neighbors-nfull-k5_detail.jsonl
groq-llama8b,housing,llm_only,20260519_082209_llm_only_groq-llama8b_local-snap-hyre-groq-llama8b-housing-llm_only-nfull-k5,local-snap-hyre-groq-llama8b-housing-llm_only-nfull-k5,6853,0.5538,3795,6853,1.0,592364,1280211,clean,6853,0,0,0,0,0,logs/eval_llm_only_groq-llama8b_20260519_082209_housing_local-snap-hyre-groq-llama8b-housing-llm_only-nfull-k5_detail.jsonl
groq-llama8b,housing,rag_hyde,20260520_233346_rag_hyde_groq-llama8b_local-snap-hyre-groq-llama8b-housing-rag_hyde-nfull-k5,local-snap-hyre-groq-llama8b-housing-rag_hyde-nfull-k5,6853,0.5905,4047,6853,1.0,16781899,2274798,clean,6853,0,0,0,0,0,logs/eval_rag_hyde_groq-llama8b_20260520_233346_housing_local-snap-hyre-groq-llama8b-housing-rag_hyde-nfull-k5_detail.jsonl
groq-llama8b,housing,rag_rewrite,eval_rag_rewrite_groq-llama8b_20260520_housing_nfull_k5_merged_detail,detail-log-scan,6853,0.6335911279731504,4342,6853,,,,clean,6853,0,0,0,0,0,logs/merged/eval_rag_rewrite_groq-llama8b_20260520_housing_nfull_k5_merged_detail.jsonl
groq-llama8b,housing,rag_simple,eval_rag_simple_groq-llama8b_20260519_housing_nfull_k5_merged_detail,detail-log-scan,6853,0.5727418648766963,3925,6853,,,,clean,6853,0,0,0,0,0,logs/merged/eval_rag_simple_groq-llama8b_20260519_housing_nfull_k5_merged_detail.jsonl
groq-llama8b,housing,snap_hyre,eval_snap_hyre_groq-llama8b_20260520_housing_nfull_k5_merged_detail,detail-log-scan,6853,0.5744929228075295,3937,6853,,,,clean,6853,0,0,0,0,0,logs/merged/eval_snap_hyre_groq-llama8b_20260520_housing_nfull_k5_merged_detail.jsonl
or-gemma4-26b,housing,llm_only,housing_or-gemma4-26b_llm_only_full_20260523_114720_detail,detail-log-scan,6853,0.5612140668320443,3846,6853,,,,clean,6853,0,0,0,0,0,logs/merged/housing_or-gemma4-26b_llm_only_full_20260523_114720_detail.jsonl
or-gemma4-26b,housing,rag_hyde,20260521_174454_rag_hyde_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-housing-rag_hyde-nfull-k5,local-snap-hyre-or-gemma4-26b-housing-rag_hyde-nfull-k5,6853,0.6502,4456,6853,1.0,16676935,3383162,clean,6853,0,0,0,0,0,logs/eval_rag_hyde_or-gemma4-26b_20260521_174454_housing_local-snap-hyre-or-gemma4-26b-housing-rag_hyde-nfull-k5_detail.jsonl
or-gemma4-26b,housing,rag_simple,housing_or-gemma4-26b_rag_simple_statefilter_full_20260521_185410_detail,detail-log-scan,6853,0.6611702903837735,4531,6853,,,,clean,6853,0,0,0,0,0,logs/merged/housing_or-gemma4-26b_rag_simple_statefilter_full_20260521_185410_detail.jsonl
or-gemma4-26b,housing,snap_hyre,housing_or-gemma4-26b_snap_hyre_statefilter_full_20260523_113019_detail,detail-log-scan,6853,0.6505180213045382,4458,6853,,,,clean,6853,0,0,0,0,0,logs/merged/housing_or-gemma4-26b_snap_hyre_statefilter_full_20260523_113019_detail.jsonl
groq-llama70b,legalbench_scalr,golden_passage,20260515_173003_golden_passage_groq-llama70b_local-snap-hyre-groq-llama70b-legalbench_scalr-golden_passage-nfull-k5,local-snap-hyre-groq-llama70b-legalbench_scalr-golden_passage-nfull-k5,571,0.9352,534,571,1.0,293933,222823,clean,571,0,0,0,0,0,logs/eval_golden_passage_groq-llama70b_20260515_173003_legalbench_scalr_local-snap-hyre-groq-llama70b-legalbench_scalr-golden_passage-nfull-k5_detail.jsonl
groq-llama70b,legalbench_scalr,golden_plus_neighbors,20260515_174642_golden_plus_neighbors_groq-llama70b_local-snap-hyre-groq-llama70b-legalbench_scalr-golden_plus_neighbors-nfull-k5,local-snap-hyre-groq-llama70b-legalbench_scalr-golden_plus_neighbors-nfull-k5,571,0.8301,474,571,1.0,448458,188360,clean,571,0,0,0,0,0,logs/eval_golden_plus_neighbors_groq-llama70b_20260515_174642_legalbench_scalr_local-snap-hyre-groq-llama70b-legalbench_scalr-golden_plus_neighbors-nfull-k5_detail.jsonl
groq-llama70b,legalbench_scalr,llm_only,20260514_1414_llm_only_groq-llama70b_local-snap-hyre-groq-llama70b-legalbench_scalr-llm_only-nfull-k5,local-snap-hyre-groq-llama70b-legalbench_scalr-llm_only-nfull-k5,571,0.7443,425,571,1.0,260650,224616,clean,571,0,0,0,0,0,logs/eval_llm_only_groq-llama70b_20260514_1414_legalbench_scalr_local-snap-hyre-groq-llama70b-legalbench_scalr-llm_only-nfull-k5_detail.jsonl
groq-llama70b,legalbench_scalr,rag_hyde,20260515_181837_rag_hyde_groq-llama70b_local-snap-hyre-groq-llama70b-legalbench_scalr-rag_hyde-nfull-k5,local-snap-hyre-groq-llama70b-legalbench_scalr-rag_hyde-nfull-k5,571,0.704,402,571,1.0,452775,194184,clean,571,0,0,0,0,0,logs/eval_rag_hyde_groq-llama70b_20260515_181837_legalbench_scalr_local-snap-hyre-groq-llama70b-legalbench_scalr-rag_hyde-nfull-k5_detail.jsonl
groq-llama70b,legalbench_scalr,rag_rewrite,20260515_184842_rag_rewrite_groq-llama70b_local-snap-hyre-groq-llama70b-legalbench_scalr-rag_rewrite-nfull-k5,local-snap-hyre-groq-llama70b-legalbench_scalr-rag_rewrite-nfull-k5,571,0.7163,409,571,2.0,939816,267383,clean,571,0,0,0,0,0,logs/eval_rag_rewrite_groq-llama70b_20260515_184842_legalbench_scalr_local-snap-hyre-groq-llama70b-legalbench_scalr-rag_rewrite-nfull-k5_detail.jsonl
groq-llama70b,legalbench_scalr,rag_simple,20260515_171203_rag_simple_groq-llama70b_local-snap-hyre-groq-llama70b-legalbench_scalr-rag_simple-nfull-k5,local-snap-hyre-groq-llama70b-legalbench_scalr-rag_simple-nfull-k5,571,0.7285,416,571,1.0,452405,198835,clean,571,0,0,0,0,0,logs/eval_rag_simple_groq-llama70b_20260515_171203_legalbench_scalr_local-snap-hyre-groq-llama70b-legalbench_scalr-rag_simple-nfull-k5_detail.jsonl
groq-llama70b,legalbench_scalr,snap_hyre,20260515_183326_snap_hyre_groq-llama70b_local-snap-hyre-groq-llama70b-legalbench_scalr-snap_hyre-nfull-k5,local-snap-hyre-groq-llama70b-legalbench_scalr-snap_hyre-nfull-k5,571,0.7128,407,571,1.0,451030,192436,clean,571,0,0,0,0,0,logs/eval_snap_hyre_groq-llama70b_20260515_183326_legalbench_scalr_local-snap-hyre-groq-llama70b-legalbench_scalr-snap_hyre-nfull-k5_detail.jsonl
or-gemma4-26b,legalbench_scalr,golden_passage,20260514_235919_golden_passage_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-legalbench_scalr-golden_passage-nfull-k5,local-snap-hyre-or-gemma4-26b-legalbench_scalr-golden_passage-nfull-k5,571,0.979,559,571,1.0,293324,285769,clean,571,0,0,0,0,0,logs/eval_golden_passage_or-gemma4-26b_20260514_235919_legalbench_scalr_local-snap-hyre-or-gemma4-26b-legalbench_scalr-golden_passage-nfull-k5_detail.jsonl
or-gemma4-26b,legalbench_scalr,golden_plus_neighbors,20260514_221537_golden_plus_neighbors_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-legalbench_scalr-golden_plus_neighbors-nfull-k5,local-snap-hyre-or-gemma4-26b-legalbench_scalr-golden_plus_neighbors-nfull-k5,571,0.8126,464,571,1.0,449583,354876,clean,571,0,0,0,0,0,logs/eval_golden_plus_neighbors_or-gemma4-26b_20260514_221537_legalbench_scalr_local-snap-hyre-or-gemma4-26b-legalbench_scalr-golden_plus_neighbors-nfull-k5_detail.jsonl
or-gemma4-26b,legalbench_scalr,llm_only,20260515_0056_llm_only_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-legalbench_scalr-llm_only-nfull-k5_merged,local-snap-hyre-or-gemma4-26b-legalbench_scalr-llm_only-nfull-k5,571,0.7303,417,571,1.02,276578,328171,clean,571,0,0,0,0,0,logs/eval_llm_only_or-gemma4-26b_20260515_0056_legalbench_scalr_local-snap-hyre-or-gemma4-26b-legalbench_scalr-llm_only-nfull-k5_merged_detail.jsonl
or-gemma4-26b,legalbench_scalr,rag_hyde,20260515_042731_rag_hyde_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-legalbench_scalr-rag_hyde-nfull-k5,local-snap-hyre-or-gemma4-26b-legalbench_scalr-rag_hyde-nfull-k5,571,0.7215,412,571,1.0,450737,360814,clean,571,0,0,0,0,0,logs/eval_rag_hyde_or-gemma4-26b_20260515_042731_legalbench_scalr_local-snap-hyre-or-gemma4-26b-legalbench_scalr-rag_hyde-nfull-k5_detail.jsonl
or-gemma4-26b,legalbench_scalr,rag_rewrite,20260515_062250_rag_rewrite_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-legalbench_scalr-rag_rewrite-nfull-k5,local-snap-hyre-or-gemma4-26b-legalbench_scalr-rag_rewrite-nfull-k5,571,0.7391,422,571,2.0,940816,403437,clean,571,0,0,0,0,0,logs/eval_rag_rewrite_or-gemma4-26b_20260515_062250_legalbench_scalr_local-snap-hyre-or-gemma4-26b-legalbench_scalr-rag_rewrite-nfull-k5_detail.jsonl
or-gemma4-26b,legalbench_scalr,rag_simple,20260514_204706_rag_simple_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-legalbench_scalr-rag_simple-nfull-k5,local-snap-hyre-or-gemma4-26b-legalbench_scalr-rag_simple-nfull-k5,571,0.7338,419,571,1.0,453449,364639,clean,571,0,0,0,0,0,logs/eval_rag_simple_or-gemma4-26b_20260514_204706_legalbench_scalr_local-snap-hyre-or-gemma4-26b-legalbench_scalr-rag_simple-nfull-k5_detail.jsonl
or-gemma4-26b,legalbench_scalr,snap_hyre,20260515_020525_snap_hyre_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-legalbench_scalr-snap_hyre-nfull-k5,local-snap-hyre-or-gemma4-26b-legalbench_scalr-snap_hyre-nfull-k5,571,0.7391,422,571,1.0,451252,355033,clean,571,0,0,0,0,0,logs/eval_snap_hyre_or-gemma4-26b_20260515_020525_legalbench_scalr_local-snap-hyre-or-gemma4-26b-legalbench_scalr-snap_hyre-nfull-k5_detail.jsonl
