idx,question,answer,answer_aliases,answerable,gold_idx,gold_titles,support_para_idxs,hop_count
2hop__310456_846599,Who is the child of the person who followed Tihomir of Serbia?,Saint Sava,[],1,"musique_2hop__310456_846599_6,musique_2hop__310456_846599_17","[""Stracimir Zavidovi\u0107"", ""Saint Sava""]","[6, 17]",2
2hop__335418_279684,What team was Anna Benson's husband on?,Pittsburgh Pirates,"[""Orioles"", ""Pirates"", ""Baltimore Orioles"", ""New York Mets"", ""Mets""]",1,"musique_2hop__335418_279684_9,musique_2hop__335418_279684_16","[""Anna Benson"", ""Kris Benson""]","[9, 16]",2
2hop__191125_781346,What place does the administrative territorial entity that Juba is located in share a border with?,Eastern Equatoria,[],1,"musique_2hop__191125_781346_13,musique_2hop__191125_781346_14","[""Badigeru Swamp"", ""The Citizen (South Sudan)""]","[13, 14]",2
2hop__475070_532404,Where was the spouse of Frances Tupper born?,Amherst,[],1,"musique_2hop__475070_532404_4,musique_2hop__475070_532404_13","[""Frances Tupper"", ""Arthur Rupert Dickey""]","[4, 13]",2
2hop__700093_455653,Who founded the political party of Dimuthu Bandara Abayakoon?,Rohana Wijeweera,[],1,"musique_2hop__700093_455653_8,musique_2hop__700093_455653_12","[""Rohana Wijeweera"", ""Dimuthu Bandara Abayakoon""]","[8, 12]",2
2hop__512773_346751,Bancroft's county borders what county?,Haliburton County,[],1,"musique_2hop__512773_346751_7,musique_2hop__512773_346751_8","[""York River (Ontario)"", ""North Hastings High School""]","[7, 8]",2
2hop__411091_625230,In which county is Mark Dismore's birthplace located?,Hancock County,[],1,"musique_2hop__411091_625230_10,musique_2hop__411091_625230_13","[""Greenfield, Indiana"", ""Mark Dismore""]","[10, 13]",2
2hop__423972_540249,Who was the sibling of Nannina de' Medici?,Giuliano de' Medici,[],1,"musique_2hop__423972_540249_5,musique_2hop__423972_540249_8","[""Giuliano de' Medici"", ""Nannina de' Medici""]","[5, 8]",2
2hop__455158_247871,What county is the NRHEG High School located in?,Waseca County,"[""Waseca County, Minnesota""]",1,"musique_2hop__455158_247871_16,musique_2hop__455158_247871_19","[""NRHEG High School"", ""New Richland, Minnesota""]","[16, 19]",2
2hop__189094_612080,What league does the team that occupies the Rabat Ajax Football Ground belong to?,Maltese Premier League,[],1,"musique_2hop__189094_612080_6,musique_2hop__189094_612080_13","[""Malcolm Licari"", ""Rabat Ajax Football Ground""]","[6, 13]",2
2hop__765678_310556,Who was married to the star of No Escape?,John Profumo,[],1,"musique_2hop__765678_310556_5,musique_2hop__765678_310556_19","[""David Profumo"", ""No Escape (1936 film)""]","[5, 19]",2
2hop__304852_758385,What administrative territorial entity contains the place where KPRM is licensed to broadcast to?,Hubbard County,"[""Hubbard County, Minnesota""]",1,"musique_2hop__304852_758385_5,musique_2hop__304852_758385_16","[""KPRM"", ""Emmaville, Minnesota""]","[5, 16]",2
2hop__628752_538661,Where are the headquarters for the publisher of In the Shadow of Greatness?,Annapolis,"[""Annapolis, Maryland""]",1,"musique_2hop__628752_538661_4,musique_2hop__628752_538661_5","[""United States Naval Institute"", ""In the Shadow of Greatness""]","[4, 5]",2
2hop__661847_288421,Who is part of the band that performed Full Cooperation?,Erick Sermon,[],1,"musique_2hop__661847_288421_8,musique_2hop__661847_288421_10","[""Def Squad"", ""Full Cooperation""]","[8, 10]",2
2hop__496732_658428,The territory containing Bansaan Island is located at which island?,Panglao Island,[],1,"musique_2hop__496732_658428_7,musique_2hop__496732_658428_17","[""Hinagdanan Cave"", ""Bansaan""]","[7, 17]",2
2hop__175175_347233,In which county did Snappy Tomato Pizza form?,Kenton County,"[""Kenton County, Kentucky""]",1,"musique_2hop__175175_347233_4,musique_2hop__175175_347233_8","[""Fort Mitchell, Kentucky"", ""Snappy Tomato Pizza""]","[4, 8]",2
2hop__496961_554601,What's the place of birth of the former member of The Sunnyboys?,Kingscliff,"[""Kingscliff, New South Wales""]",1,"musique_2hop__496961_554601_17,musique_2hop__496961_554601_18","[""Sunnyboys"", ""Jeremy Oxley""]","[17, 18]",2
2hop__274110_413723,In which district was Ernie Watts born?,West Berkshire,[],1,"musique_2hop__274110_413723_14,musique_2hop__274110_413723_18","[""Ernie Watts (footballer, born 1872)"", ""Woolhampton""]","[14, 18]",2
2hop__231890_595414,Which county does Lloyd Dane's birthplace belong to?,Miller County,"[""Miller County, Missouri""]",1,"musique_2hop__231890_595414_0,musique_2hop__231890_595414_18","[""Eldon, Missouri"", ""Lloyd Dane""]","[0, 18]",2
2hop__342746_679190,Who is the spouse of the screenwriter of The Actress?,Garson Kanin,[],1,"musique_2hop__342746_679190_0,musique_2hop__342746_679190_10","[""Adam's Rib"", ""The Actress""]","[0, 10]",2
2hop__860241_766393,What award was received by the person who authored Missing Person?,Nobel Prize in Literature,"[""Austrian State Prize for European Literature"", ""Prix mondial Cino Del Duca"", ""Grand Prix du roman de l'Acad\u00e9mie fran\u00e7aise"", ""Prix Goncourt""]",1,"musique_2hop__860241_766393_0,musique_2hop__860241_766393_16","[""Missing Person (novel)"", ""Patrick Modiano""]","[0, 16]",2
2hop__29368_29376,What event caused the founder of Australia's liberal party to become Prime Minister?,Lyons' death in 1939,[],1,"musique_2hop__29368_29376_5,musique_2hop__29368_29376_17","[""Liberal Party of Australia"", ""Liberal Party of Australia""]","[5, 17]",2
2hop__29367_29376,What event caused the Liberal Party of Australia's longest-serving leader to become Prime Minister?,Lyons' death in 1939,[],1,"musique_2hop__29367_29376_10,musique_2hop__29367_29376_17","[""Liberal Party of Australia"", ""Liberal Party of Australia""]","[10, 17]",2
2hop__21075_5028,What was the average per capita GVA in 2013 of the country which created Burma's academic system?,"£23,755",[],1,"musique_2hop__21075_5028_10,musique_2hop__21075_5028_15","[""Myanmar"", ""Plymouth""]","[10, 15]",2
2hop__557411_652060,Who is the spouse of the creator of The Nanny Reunion: A Nosh to Remember?,Peter Marc Jacobson,[],1,"musique_2hop__557411_652060_11,musique_2hop__557411_652060_19","[""The Nanny Reunion: A Nosh to Remember"", ""List of Happily Divorced episodes""]","[11, 19]",2
2hop__677929_696450,Who founded the publisher of The Final Testament of the Holy Bible?,Larry Gagosian,[],1,"musique_2hop__677929_696450_3,musique_2hop__677929_696450_8","[""Gagosian Gallery"", ""The Final Testament of the Holy Bible""]","[3, 8]",2
2hop__132909_33564,During which era was the company that makes Nirbhay founded?,From the 1950s to the 1970s,[],1,"musique_2hop__132909_33564_6,musique_2hop__132909_33564_7","[""Nirbhay"", ""Hyderabad""]","[6, 7]",2
2hop__199216_33564,During what era was the manufacturer of Agni-V founded?,From the 1950s to the 1970s,[],1,"musique_2hop__199216_33564_15,musique_2hop__199216_33564_16","[""Agni-V"", ""Hyderabad""]","[15, 16]",2
2hop__133241_33564,In what era was the company known as the manufacturer of Agni-V founded?,From the 1950s to the 1970s,[],1,"musique_2hop__133241_33564_2,musique_2hop__133241_33564_6","[""Agni-V"", ""Hyderabad""]","[2, 6]",2
2hop__636597_480615,What city is located in the county containing Qiantong?,Ningbo,[],1,"musique_2hop__636597_480615_10,musique_2hop__636597_480615_13","[""Qiantong, Zhejiang"", ""Hu Sanxing""]","[10, 13]",2
2hop__373759_136043,What is the performer of Heartbeat named after?,Natalie Albino,"[""Nina Sky""]",1,"musique_2hop__373759_136043_4,musique_2hop__373759_136043_12","[""Heartbeat (Nina Sky song)"", ""Nina Sky""]","[4, 12]",2
2hop__709357_136043,The Move Ya Body song's band is named after who?,Natalie Albino,"[""Nina Sky""]",1,"musique_2hop__709357_136043_7,musique_2hop__709357_136043_9","[""Move Ya Body"", ""Nina Sky""]","[7, 9]",2
2hop__32254_84601,When did the spacecraft that detected storms on Neptune leave our solar system?,"August 30, 2007",[],1,"musique_2hop__32254_84601_8,musique_2hop__32254_84601_10","[""Neptune"", ""Voyager 2""]","[8, 10]",2
2hop__471509_136043,The Nicole and Natalie album's band is named after who?,Natalie Albino,"[""Nina Sky""]",1,"musique_2hop__471509_136043_5,musique_2hop__471509_136043_19","[""Nina Sky"", ""Nicole and Natalie""]","[5, 19]",2
2hop__87589_362941,Where was the founder of the National Women's Party born?,Mount Laurel Township,[],1,"musique_2hop__87589_362941_4,musique_2hop__87589_362941_11","[""Paulsdale"", ""National Woman's Party""]","[4, 11]",2
2hop__61318_362941,What is the place of birth of the person who submitted the first version of the equal rights amendment to congress in 1923?,Mount Laurel Township,[],1,"musique_2hop__61318_362941_0,musique_2hop__61318_362941_18","[""Equal Rights Amendment"", ""Paulsdale""]","[0, 18]",2
2hop__20268_42004,The Directory of Public Worship was approved by a parliament whose modern equivalent has been based where since 2004?,Scottish Parliament Building,[],1,"musique_2hop__20268_42004_13,musique_2hop__20268_42004_16","[""Scottish Parliament"", ""Presbyterianism""]","[13, 16]",2
2hop__159902_362941,Where was the person featured on the Chester Arthur coin born?,Mount Laurel Township,[],1,"musique_2hop__159902_362941_14,musique_2hop__159902_362941_19","[""List of First Ladies of the United States"", ""Paulsdale""]","[14, 19]",2
2hop__42027_42004,"Since 2004, what is the location of the body to which, if a matter is not specifically reserved, it is devolved?",Scottish Parliament Building,[],1,"musique_2hop__42027_42004_3,musique_2hop__42027_42004_7","[""Scottish Parliament"", ""Scottish Parliament""]","[3, 7]",2
2hop__648648_173389,The city which contains Broadhurst Park shares a border with what town?,Middleton,[],1,"musique_2hop__648648_173389_6,musique_2hop__648648_173389_11","[""Greengate, Greater Manchester"", ""Broadhurst Park""]","[6, 11]",2
2hop__477492_240386,What is the record label of the Metalworks Studio founder?,TML Entertainment,[],1,"musique_2hop__477492_240386_1,musique_2hop__477492_240386_9","[""TML Entertainment"", ""Metalworks Institute""]","[1, 9]",2
2hop__776377_857193,What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,Delaware River,[],1,"musique_2hop__776377_857193_9,musique_2hop__776377_857193_18","[""Crum Creek"", ""Bartram's Covered Bridge""]","[9, 18]",2
2hop__29752_814677,What is the ruler of the underworld in ancient Egypt a part of?,ancient Egyptian religion,[],1,"musique_2hop__29752_814677_9,musique_2hop__29752_814677_17","[""Green"", ""Hapi (Son of Horus)""]","[9, 17]",2
2hop__77601_814677,What pantheon is the God of the underworld in ancient Egypt a part of?,ancient Egyptian religion,[],1,"musique_2hop__77601_814677_10,musique_2hop__77601_814677_11","[""Hapi (Son of Horus)"", ""Osiris""]","[10, 11]",2
2hop__497191_129669,In which district was Alhandra born?,Lisbon District,"[""Lisbon"", ""AML""]",1,"musique_2hop__497191_129669_3,musique_2hop__497191_129669_19","[""Vila Franca de Xira"", ""Alhandra (footballer)""]","[3, 19]",2
2hop__311694_129669,In which state is Vera Barbosa's place of birth located?,Lisbon District,"[""Lisbon"", ""AML""]",1,"musique_2hop__311694_129669_5,musique_2hop__311694_129669_6","[""Vila Franca de Xira"", ""Vera Barbosa""]","[5, 6]",2
2hop__819974_129669,In which state is Póvoa de Santa Iria's municipality located?,Lisbon District,"[""Lisbon""]",1,"musique_2hop__819974_129669_13,musique_2hop__819974_129669_17","[""Vila Franca de Xira"", ""P\u00f3voa de Santa Iria e Forte da Casa""]","[13, 17]",2
2hop__199513_13732,How old was Mary when engaged to the person from whom São José dos Campos takes it's name?,12–14 years old,[],1,"musique_2hop__199513_13732_18,musique_2hop__199513_13732_19","[""Mary, mother of Jesus"", ""S\u00e3o Jos\u00e9 dos Campos""]","[18, 19]",2
2hop__13731_801817,Where was Mary's betrothed born?,Nazareth,[],1,"musique_2hop__13731_801817_4,musique_2hop__13731_801817_11","[""Sisters of St Joseph of Nazareth"", ""Mary, mother of Jesus""]","[4, 11]",2
2hop__865961_159109,Where is the country with ISO code ISO 3166-2:CV located?,central Atlantic Ocean,"[""Atlantic Ocean"", ""Atlantic""]",1,"musique_2hop__865961_159109_11,musique_2hop__865961_159109_13","[""Cape Verde"", ""ISO 3166-2:CV""]","[11, 13]",2
2hop__728887_159109,Where is Assomada located?,central Atlantic Ocean,"[""Atlantic Ocean"", ""Atlantic""]",1,"musique_2hop__728887_159109_4,musique_2hop__728887_159109_11","[""RTC (Cape Verde)"", ""Cape Verde""]","[4, 11]",2
2hop__827995_159109,Where is Amílcar Cabral International Airport?,central Atlantic Ocean,"[""Atlantic Ocean"", ""Atlantic""]",1,"musique_2hop__827995_159109_17,musique_2hop__827995_159109_19","[""Cape Verde"", ""Am\u00edlcar Cabral International Airport""]","[17, 19]",2
2hop__159215_779396,Where was the person who wrote about the rioting being a dividing factor in Birmingham educated?,University of Glasgow,[],1,"musique_2hop__159215_779396_8,musique_2hop__159215_779396_14","[""Priestley Riots"", ""James Watt""]","[8, 14]",2
2hop__119423_779396,Where was the designer of the Lap Engine educated?,University of Glasgow,[],1,"musique_2hop__119423_779396_14,musique_2hop__119423_779396_16","[""Lap Engine"", ""James Watt""]","[14, 16]",2
2hop__115515_779396,Where was the creator of the Lap Engine educated?,University of Glasgow,[],1,"musique_2hop__115515_779396_3,musique_2hop__115515_779396_18","[""Lap Engine"", ""James Watt""]","[3, 18]",2
2hop__665660_135481,The 1967 Federation Cup is an instance of this tournament which is named after what organization?,International Tennis Federation,"[""ITF""]",1,"musique_2hop__665660_135481_10,musique_2hop__665660_135481_16","[""Fed Cup"", ""1967 Federation Cup (tennis)""]","[10, 16]",2
2hop__201704_135481,What is the competition that the 1965 Federation Cup is part of named after?,International Tennis Federation,"[""ITF""]",1,"musique_2hop__201704_135481_8,musique_2hop__201704_135481_16","[""1965 Federation Cup (tennis)"", ""Fed Cup""]","[8, 16]",2
2hop__861157_135481,What is the competition the 1972 Federation Cup is part of named after?,International Tennis Federation,"[""ITF""]",1,"musique_2hop__861157_135481_10,musique_2hop__861157_135481_19","[""1972 Federation Cup (tennis)"", ""Fed Cup""]","[10, 19]",2
2hop__495316_660579,"What is the capital of the county which contains Hickory Grove Estates, Mississippi?",Starkville,[],1,"musique_2hop__495316_660579_0,musique_2hop__495316_660579_15","[""Hickory Grove Estates, Mississippi"", ""Oktibbeha County School District""]","[0, 15]",2
2hop__478978_124498,Who is the father of the performer of Je dis aime?,Louis Chedid,[],1,"musique_2hop__478978_124498_2,musique_2hop__478978_124498_16","[""Matthieu Chedid"", ""Je dis aime""]","[2, 16]",2
2hop__543853_124498,Who is the father of the Labo M performer?,Louis Chedid,[],1,"musique_2hop__543853_124498_5,musique_2hop__543853_124498_13","[""Matthieu Chedid"", ""Labo M""]","[5, 13]",2
2hop__335899_124498,Who is the father of the performer of Qui de noux deux?,Louis Chedid,[],1,"musique_2hop__335899_124498_16,musique_2hop__335899_124498_19","[""Matthieu Chedid"", ""Qui de nous deux""]","[16, 19]",2
2hop__517145_367341,Who is the child of the cast member of Green Ice?,Tatum O'Neal,[],1,"musique_2hop__517145_367341_3,musique_2hop__517145_367341_5","[""Green Ice (soundtrack)"", ""Nickelodeon (film)""]","[3, 5]",2
2hop__92051_827343,Who is the sibling of the actress who played Susan Walker in Miracle on 34th street?,Lana Wood,[],1,"musique_2hop__92051_827343_1,musique_2hop__92051_827343_19","[""Five Finger Exercise"", ""Miracle on 34th Street""]","[1, 19]",2
2hop__89764_827343,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Lana Wood,[],1,"musique_2hop__89764_827343_12,musique_2hop__89764_827343_17","[""Miracle on 34th Street"", ""Five Finger Exercise""]","[12, 17]",2
2hop__59048_827343,Whose sister played Susie in miracle on 34th street?,Lana Wood,[],1,"musique_2hop__59048_827343_2,musique_2hop__59048_827343_11","[""Miracle on 34th Street"", ""Five Finger Exercise""]","[2, 11]",2
2hop__14121_15463,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Hewlett Packard,"[""Hewlett-Packard""]",1,"musique_2hop__14121_15463_1,musique_2hop__14121_15463_10","[""Macintosh"", ""Dell""]","[1, 10]",2
2hop__817096_15463,What company merged in 2002 with the CEMM developer?,Hewlett Packard,"[""Hewlett-Packard""]",1,"musique_2hop__817096_15463_0,musique_2hop__817096_15463_12","[""CEMM"", ""Dell""]","[0, 12]",2
2hop__14095_15463,"In 2002, what company merged with the top PC manufacturer from 1994?",Hewlett Packard,"[""Hewlett-Packard""]",1,"musique_2hop__14095_15463_2,musique_2hop__14095_15463_16","[""Macintosh"", ""Dell""]","[2, 16]",2
2hop__485221_544917,What body of water includes the terrain feature where Coffee Swamp is located?,Lake Superior,"[""Superior""]",1,"musique_2hop__485221_544917_0,musique_2hop__485221_544917_14","[""Washington Island (Michigan)"", ""Coffee Swamp""]","[0, 14]",2
2hop__198459_61845,Who has played for both West Ham Ajax and the team that Adam Hammill is on?,Mido,[],1,"musique_2hop__198459_61845_0,musique_2hop__198459_61845_10","[""Mido (footballer)"", ""Adam Hammill""]","[0, 10]",2
2hop__563476_61845,Who has played for West Ham Ajax and the team that David Currie plays for?,Mido,[],1,"musique_2hop__563476_61845_4,musique_2hop__563476_61845_9","[""David Currie (footballer)"", ""Mido (footballer)""]","[4, 9]",2
2hop__622308_61845,Who has played for West Ham Ajax and the team from the city where Malcolm Graham died?,Mido,[],1,"musique_2hop__622308_61845_6,musique_2hop__622308_61845_16","[""Malcolm Graham (footballer)"", ""Mido (footballer)""]","[6, 16]",2
2hop__135653_669373,Who is the employer of the person Mach's principle was named after?,Charles University,[],1,"musique_2hop__135653_669373_6,musique_2hop__135653_669373_10","[""Mach's principle"", ""Vinko Dvo\u0159\u00e1k""]","[6, 10]",2
2hop__135652_669373,Who is the employer of the physicist who Mach number is named after?,Charles University,[],1,"musique_2hop__135652_669373_4,musique_2hop__135652_669373_5","[""Mach number"", ""Vinko Dvo\u0159\u00e1k""]","[4, 5]",2
2hop__135651_669373,Which university employed the person that Mach bands are named after?,Charles University,[],1,"musique_2hop__135651_669373_3,musique_2hop__135651_669373_19","[""Mach bands"", ""Vinko Dvo\u0159\u00e1k""]","[3, 19]",2
2hop__256336_714772,Who is the spouse of a cast member from King of the Mountain?,Lisa Rinna,[],1,"musique_2hop__256336_714772_9,musique_2hop__256336_714772_18","[""Harry Loves Lisa"", ""King of the Mountain (film)""]","[9, 18]",2
2hop__199513_801817,What is the birthplace of the person after whom São José dos Campos was named?,Nazareth,[],1,"musique_2hop__199513_801817_2,musique_2hop__199513_801817_17","[""S\u00e3o Jos\u00e9 dos Campos"", ""Sisters of St Joseph of Nazareth""]","[2, 17]",2
2hop__391857_162018,What year did the author of Prince Prigio die?,1912,[],1,"musique_2hop__391857_162018_2,musique_2hop__391857_162018_3","[""Andrew Lang"", ""Prince Prigio""]","[2, 3]",2
2hop__645448_77615,When did military instruction start at the place where Larry Alcala was educated?,1912,[],1,"musique_2hop__645448_77615_0,musique_2hop__645448_77615_17","[""Reserve Officers' Training Corps (Philippines)"", ""Larry Alcala""]","[0, 17]",2
